"","unique.id","town.name","state","latitude","longitude","oaks.wt"
"1",1,"BERKSHIRE","VT",44.97,-72.76,0
"2",2,"JAY","VT",44.9683,-72.485,0
"3",3,"AVERILL","VT",44.9583,-71.6983,0
"4",4,"Magalloway","ME",44.91,-70.93,0
"5",5,"OldTownCty","ME",44.9,-68.71,0.043165
"6",6,"LEMINGTON","VT",44.8933,-71.5767,0
"7",8,"Mooers","NY",44.85,-73.77,0
"8",9,"Madison","ME",44.8376,-69.8059,0
"9",11,"TownshipE","ME",44.8277,-70.6042,0
"10",12,"IRASBURG","VT",44.81,-72.2833,0
"11",14,"Brewer","ME",44.78,-68.72,0.063492
"12",15,"WESTMORE","VT",44.7617,-72.0167,0
"13",16,"Stratford Old","NH",44.74,-71.58,0
"14",17,"GEORGIA","VT",44.74,-73.1243,0.011236
"15",18,"NEWARK","VT",44.7067,-71.9267,0
"16",19,"SUTTON","VT",44.6583,-72.0433,0
"17",20,"EAST HAVEN","VT",44.6517,-71.83,0
"18",22,"Bucksport","ME",44.64,-68.75,0.082192
"19",24,"Franklin","NY",44.63,-74.06,0
"20",25,"Orland","ME",44.57,-68.69,0.025641
"21",26,"EllsworthCty","ME",44.56,-68.49,0.003597
"22",27,"UNDERHILL","VT",44.5533,-72.9167,0
"23",29,"LYNDON","VT",44.54,-72.007,0
"24",31,"Surry","ME",44.5,-68.54,0.07
"25",32,"ELMORE","VT",44.4967,-72.5133,0
"26",33,"MANSFIELD","VT",44.4933,-72.8017,0
"27",34,"Knox","ME",44.518,-69.215,0
"28",35,"Franklin","NY",44.4783,-74.0133,0
"29",36,"JERICHO","VT",44.478,-72.969,0
"30",42,"BOLTON","VT",44.4067,-72.8617,0.006536
"31",43,"Essex","NY",44.4067,-73.4517,0.037037
"32",45,"Sheepscot Great","ME",44.3937,-69.4416,0
"33",46,"Jay Tract","NY",44.3933,-73.74,0.058824
"34",47,"WATERBURY","VT",44.3854,-72.7443,0
"35",48,"WATERFORD","VT",44.3804,-71.9617,0.032258
"36",49,"CALAIS","VT",44.37,-72.4633,0
"37",50,"HINESBURG","VT",44.3617,-73.05667,0.016393
"38",51,"MIDDLESEX","VT",44.3347,-72.6335,0
"39",52,"BARNET","VT",44.325,-72.079,0
"40",53,"HUNTINGTON","VT",44.324,-72.95,0.002646
"41",56,"DUXBURY","VT",44.3067,-72.82,0
"42",59,"Hebron","ME",44.28,-70.51,0
"43",60,"MORETOWN","VT",44.2596,-72.7198,0
"44",61,"STARKSBORO","VT",44.24,-73.02,0
"45",63,"RYEGATE","VT",44.226,-72.115,0.003384
"46",67,"Lewis","NY",44.22,-73.67,0.007813
"47",69,"BERLIN","VT",44.21,-72.61,0
"48",70,"Balltown","ME",44.19,-69.55,0.384615
"49",71,"Saranac Lake","NY",44.18,-73.98,0
"50",72,"Roaring Brook Tr","NY",44.17,-73.72,0
"51",73,"Westport","NY",44.15,-73.53,0.005556
"52",76,"NEWBURY","VT",44.114,-72.127,0.084142
"53",78,"WILLIAMSTOWN","VT",44.11,-72.54,0.017544
"54",81,"Bakers","ME",44.068,-70.305,0.058559
