"","PLOT","INVYR","LAT","LON","whiteOak","swampWhiteOak","redOak","chestnutOak","blackOak"
"1",63,2010,41.149387,-73.609083,0,0,0,0,0
"2",190,2010,41.805249,-73.472789,0,0,0,0,0
"3",141,2010,41.609005,-73.452925,0,0,0.322893824054055,0,0.582565528284332
"4",430,2010,41.884931,-73.440747,0,0,0,0,0
"5",36,2010,41.729005,-73.391832,0.0186735278332755,0,0.571449188431027,0,0.039290852429295
"6",340,2010,41.638175,-73.348221,0,0,0,0,0
"7",664,2010,41.27695,-73.337874,0,0.110205446218298,0.0426780198582232,0,0
"8",503,2010,41.925078,-73.326597,0,0,0.104934807724047,0,0
"9",93,2010,41.570563,-73.311003,0.0196738192772717,0,0,0.69642126,0.12166062210098
"10",93,2010,41.570563,-73.311003,0.0196738192772717,0,0,0.69642126,0.12166062210098
"11",300,2010,41.823266,-73.300795,0,0,0.0924324901270146,0,0.0336297281542238
"12",34,2010,41.615947,-73.293023,0.458747770231734,0.0887417432844032,0.152235026676321,0,0
"13",142,2010,41.939359,-73.233891,0,0,0.908018863571343,0,0
"14",123,2010,41.72267,-73.223689,0,0,0.220036459768228,0,0
"15",486,2010,41.403617,-73.207726,0,0,0.406478287512307,0.5454,0.231893637383898
"16",10,2010,42.038954,-73.180976,0,0,0.291893520411457,0,0
"17",133,2010,41.791342,-73.177522,0,0,0.520828760327676,0,0
"18",671,2010,41.476631,-73.170427,0,0,0,0,0
"19",19,2010,41.849924,-73.109406,0,0,0.761431779255034,0.94316022,0
"20",117,2010,41.646248,-73.100015,0.260149384007516,0,0,0,0
"21",210,2010,41.323943,-73.095231,0,0,0,0,0.222990532764062
"22",252,2010,41.705938,-73.028025,0,0,0,0,0
"23",252,2010,41.705938,-73.028025,0,0,0,0,0
"24",567,2010,42.028156,-73.014808,0,0,0.389324588828171,0,0
"25",488,2010,41.449939,-72.988538,0.0193496062580122,0,0.110702979881223,0,0.341399157575282
"26",624,2010,41.788857,-72.981173,0,0,0,0,0
"27",193,2010,41.674503,-72.889063,0,0,0,0,0
"28",214,2010,41.769735,-72.829393,0,0,0,0,0.0410477920123039
"29",233,2010,41.590665,-72.748719,0.019662295999041,0,0.0997870797965556,3.18802662,0
"30",152,2010,41.297024,-72.73844,0.0196706986857413,0,0,0,0
"31",76,2010,41.817598,-72.721133,0,0,0,0,0
"32",64,2010,41.369103,-72.696711,0.0651568152915605,0,0.207366778337895,0,0
"33",277,2010,41.390174,-72.675675,0.418219142073926,0,0.254056602592721,0,0
"34",4,2010,41.434292,-72.640837,0.202578268876611,0,0.0137344392477145,0,0.280863630583148
"35",443,2010,41.966475,-72.629878,0,0,0,0,0
"36",443,2010,41.966475,-72.629878,0,0,0,0,0
"37",199,2010,41.483304,-72.628236,0,0,0.183717157612657,0,0
"38",589,2010,41.590365,-72.54712,0,0,0.152243717932603,0,0
"39",613,2010,41.358407,-72.54118,0,0,0,0,0
"40",145,2010,41.64136,-72.533006,0.00616207417742123,0,0,0.00921726,0
"41",422,2010,41.410476,-72.519375,0.296396454463167,0,0.303881538940094,0,0
"42",316,2010,41.738839,-72.471442,0.0533611114995083,0,0.761284880008576,0,0.0525408166594425
"43",410,2010,42.016112,-72.433926,0,0,0,0,0.125873705025147
"44",596,2010,41.469236,-72.433754,0,0,0.298299514783792,0,0.313408666145696
"45",526,2010,41.569904,-72.38748,0,0,0,0,0
"46",69,2010,41.644373,-72.372893,0.0412364455710463,0,0,0,0.200360512603859
"47",549,2010,41.884861,-72.352579,0,0,0,0,0.0375273558360914
"48",231,2010,41.71236,-72.316275,0,0,0,0,0
"49",21,2010,42.023971,-72.283352,0.358583059366232,0,0.296972304938293,0,0.166115289946125
"50",514,2010,41.794837,-72.254118,0.10691015349523,0,0.0824433714287642,0,0.0142562617888319
"51",105,2010,41.54136,-72.222786,0.117222764969729,0,0.0802236278194148,0,0.256726305505837
"52",636,2010,41.7606,-72.162336,0.192704242768578,0,0,0,0
"53",464,2010,41.697763,-72.161228,0,0,0,0,0
"54",205,2010,41.404331,-72.152231,0.0617391870635501,0,0,0,0
"55",457,2010,41.75621,-72.120758,0.463343360550064,0,0.00280762068471566,0,0
"56",249,2010,41.855452,-72.036928,0.205054076255917,0,0,0,0.177927447500874
"57",535,2010,41.69366,-72.034207,0,0,0.37671028801776,0,0.0441929076356838
"58",495,2010,41.378413,-72.00958,0,0,0.144641782059001,0,0
"59",495,2010,41.378413,-72.00958,0,0,0.144641782059001,0,0
"60",218,2010,41.589324,-71.993032,0,0,0.0258781362007168,0,0
"61",552,2010,41.431528,-71.967329,0,0,0,0,0
"62",473,2010,41.984515,-71.943266,0,0,0.412769638128861,0,0.0742736098852604
"63",413,2010,41.75349,-71.931273,0.0657962901237295,0,0.0915662360297336,0,0.16876764480284
"64",395,2010,41.506771,-71.882852,0.280373449415769,0,0.366531109874644,0,0.166677576670049
"65",344,2010,41.830311,-71.875492,0.147557133792704,0,0.283487137243552,0,0
"66",450,2010,41.573222,-71.861406,0.388565099868961,0,0,0,0
"67",434,2010,42.121397,-73.467642,0,0,0,0,0
"68",1263,2010,42.28091,-73.354017,0,0,0.446930947515976,0,0
"69",589,2010,42.100832,-73.303162,0,0,0,0,0
"70",264,2010,42.348067,-73.301867,0,0,0,0,0
"71",1021,2010,42.196623,-73.250552,0,0,0.0438893398762391,0,0
"72",349,2010,42.719999,-73.228969,0,0,0,0,0
"73",927,2010,42.491893,-73.179661,0,0,0.614349638908729,0,0
"74",682,2010,42.33767,-73.156256,0,0,0,0,0
"75",682,2010,42.33767,-73.156256,0,0,0,0,0
"76",142,2010,42.546327,-73.153029,0,0,0.06320868910917,0,0
"77",898,2010,42.628862,-73.138353,0,0,0.301006045949214,0,0
"78",898,2010,42.628862,-73.138353,0,0,0.301006045949214,0,0
"79",391,2010,42.07635,-73.102001,0,0,0,0,0
"80",14,2010,42.381723,-73.086263,0,0,0,0,0
"81",741,2010,42.165285,-73.066941,0,0,0.313536665311608,0,0
"82",858,2010,42.076245,-73.059271,0,0,0.0280656595274299,0,0
"83",1187,2010,42.480328,-73.055354,0,0,0,0,0
"84",1187,2010,42.480328,-73.055354,0,0,0,0,0
"85",343,2010,42.70442,-73.04579,0,0,0,0,0
"86",559,2010,42.555863,-73.019835,0,0,0,0,0
"87",29,2010,42.32558,-72.952302,0,0,0,0,0
"88",252,2010,42.087222,-72.933253,0,0,0.120473887105919,0,0
"89",252,2010,42.087222,-72.933253,0,0,0.120473887105919,0,0
"90",1005,2010,42.694496,-72.916777,0,0,0.0772997771093463,0,0
"91",183,2010,42.631357,-72.904619,0,0,0.0181642049759226,0,0
"92",833,2010,42.405178,-72.896958,0,0,0,0,0
"93",922,2010,42.164138,-72.892223,0,0,0.0137022489907402,9.7986564,0
"94",1194,2010,42.228974,-72.862905,0.153809587781211,0,0,0,0
"95",688,2010,42.452199,-72.85745,0,0,0,0,0
"96",761,2010,42.057536,-72.808746,0,0,0,0,0.180463899703862
"97",394,2010,42.511136,-72.803226,0,0,0,0,0
"98",394,2010,42.511136,-72.803226,0,0,0,0,0
"99",291,2010,42.297699,-72.776996,0,0,0,0,0.058656735920554
"100",291,2010,42.297699,-72.776996,0,0,0,0,0.058656735920554
"101",51,2010,42.588833,-72.756868,0,0,0.0834521115740055,0,0
"102",755,2010,42.354449,-72.75335,0,0,0.0724864858008035,0,0
"103",546,2010,42.506941,-72.749244,0,0,0.02201807928955,0,0
"104",599,2010,42.44952,-72.722139,0,0,0.0558318132850955,0,0
"105",1037,2010,42.687266,-72.710605,0,0,0,0,0
"106",1,2010,42.210781,-72.674735,0.0458561709525889,0,0.383084313157326,0.35783694,0.440930999440878
"107",1183,2010,42.291614,-72.659086,0,0,0.240996577250657,0,0
"108",1216,2010,42.502544,-72.655545,0.0524352684444307,0,0.0318379096643533,0,0.176472669144423
"109",1137,2010,42.037243,-72.605585,0,0,0,0,0
"110",1228,2010,42.643454,-72.525462,0,0,0,0,0
"111",779,2010,42.489722,-72.493515,0,0,0,0,0
"112",941,2010,42.254516,-72.480899,0,0,0,0,0.295598026453795
"113",565,2010,42.556243,-72.439477,0.0253957846570676,0,0.0910994201344983,0,0
"114",1126,2010,42.311922,-72.396793,0,0,0,0,0
"115",804,2010,42.100756,-72.392372,0,0,0.0182628840894604,0,0.0552752969560717
"116",831,2010,42.637178,-72.388266,0,0,0.0911020435368539,0,0
"117",569,2010,42.395557,-72.370873,0.0110720651290947,0,0.29560122712165,0,0
"118",340,2010,42.181539,-72.348201,0,0,0.0181269794913368,0,0
"119",292,2010,42.690216,-72.342366,0,0,0.354327204764412,0,0
"120",292,2010,42.690216,-72.342366,0,0,0.354327204764412,0,0
"121",1270,2010,42.476115,-72.327905,0,0,0,0,0
"122",639,2010,42.240115,-72.320302,0.387544046719534,0,0.0273425087034199,0,0.113539908622918
"123",405,2010,42.069296,-72.224654,0.088046801283261,0,0,0,0
"124",932,2010,42.619478,-72.191538,0.00543473196297076,0,0.403899737023086,0,0
"125",1142,2010,42.370292,-72.173831,0,0,0.00430301168143204,0,0
"126",1066,2010,42.163039,-72.168453,0,0,0.6794001429232,0,0
"127",419,2010,42.440877,-72.153097,0,0,0.020406610775898,0,0
"128",419,2010,42.440877,-72.153097,0,0,0.020406610775898,0,0
"129",277,2010,42.306957,-72.06939,0,0,0,0,0
"130",899,2010,42.586977,-72.061865,0,0,0.00110273355820449,0,0
"131",168,2010,42.366201,-72.018574,0.068611623017624,0,0.220557011965634,0,0
"132",1268,2010,42.688099,-72.00554,0,0,0.105626823439722,0,0
"133",11,2010,42.452169,-71.944689,0.0126948675388921,0,0.0202149645251578,0,0
"134",398,2010,42.298008,-71.86756,0.00036861331357566,0,0.0142469045696992,0,0
"135",1123,2010,42.592338,-71.857384,0,0,0.107561980259579,0,0.106396207352141
"136",147,2010,42.632016,-71.854632,0,0,0.189825772387971,0,0
"137",401,2010,42.442985,-71.804992,0.120221645910507,0,0.331279424777914,0,0.148251081222922
"138",302,2010,42.176523,-71.792039,0.0453277027113597,0,0,0,0.385914561803166
"139",302,2010,42.176523,-71.792039,0.0453277027113597,0,0,0,0.385914561803166
"140",174,2010,42.666797,-71.775681,0,0,0.51100492886507,0,0.0459955661737802
"141",1190,2010,42.119112,-71.728449,0,0,0.148705522716736,5.47123464,0.0487366713027353
"142",879,2010,42.490487,-71.726661,0,0,0,0,0
"143",289,2010,42.341736,-71.698278,0,0,0,0,0
"144",911,2010,42.01976,-71.697474,0.140503204309705,0,0,0,0
"145",501,2010,42.565086,-71.688326,0,0,0,0,0
"146",1136,2010,42.431089,-71.660888,0,0,0.34035506708712,0,0
"147",1225,2010,42.695713,-71.601042,0,0,0,0,0
"148",1159,2010,42.484204,-71.585426,0.0757805156544724,0,0,0,0.182447308490572
"149",437,2010,42.078651,-71.495296,1,0,0,0,0
"150",60,2010,42.604396,-71.45778,0,0,0,0,0
"151",410,2010,42.432394,-71.420948,0,0,0,0,0
"152",410,2010,42.432394,-71.420948,0,0,0,0,0
"153",21,2010,42.557522,-71.418896,0.0326101240391918,0,0,0,0.135309407511844
"154",194,2010,41.915659,-71.318187,0.471474230405921,0,0,0,0
"155",691,2010,42.35558,-71.316714,0,0,0.553574732292846,0,0.0215793797038386
"156",691,2010,42.35558,-71.316714,0,0,0.553574732292846,0,0.0215793797038386
"157",471,2010,41.847553,-71.303881,0,0,0,0,0
"158",877,2010,42.056604,-71.298005,0,0,0,0,0
"159",1061,2010,42.6022,-71.291455,0.037447773338575,0.403224110661096,0,0,0
"160",95,2010,42.741131,-71.175133,0.119596064570283,0,0.000411130208363074,0,0.158262289652652
"161",732,2010,42.039167,-71.159898,0.183359814955795,0,0.0869012788103695,0,0
"162",540,2010,41.806203,-71.134277,0,0,0.334255279739051,0,0.0858446169736508
"163",845,2010,42.590057,-71.117832,0,0,0,0,0
"164",859,2010,41.655651,-71.082925,0.0442592444457543,0,0.0315635249093764,0,0
"165",667,2010,41.899099,-71.07235,0.588863140891983,0,0.014827679038022,0,0
"166",1257,2010,42.161616,-71.066117,0,0,0,0,0.233950656915561
"167",353,2010,41.933945,-71.045609,0,0,0,0,0
"168",1197,2010,42.135528,-71.043115,0.0517244840312807,0,0.227333079065019,0,0
"169",603,2010,42.731477,-71.024441,0,0,0,0,0.359251840174476
"170",1165,2010,42.470983,-70.99545,0,0,0.224378962016183,0,0
"171",177,2010,41.774678,-70.975716,0,0,0,0,0
"172",12,2010,42.560235,-70.956908,0,0,0,0,0
"173",333,2010,42.610762,-70.922324,0,0,0,0,0
"174",571,2010,42.878271,-70.913004,0,0,0,0,0.090052232651298
"175",788,2010,41.691899,-70.870036,0.415422847992265,0,0,0,0
"176",743,2010,41.790179,-70.799773,0.167919625970694,0,0,0,0.152789368005626
"177",214,2010,42.07909,-70.786388,0.0482447704950631,0,0.0384980229423442,0,0
"178",81,2010,42.619096,-70.762936,0,0,0,0,0
"179",68,2010,41.836312,-70.729503,0.0695706637277397,0,0,0,0
"180",465,2010,41.372515,-70.708327,0,0,0,0,0.267188315075639
"181",19,2010,41.925065,-70.664341,NA,NA,NA,0,NA
"182",754,2010,41.772313,-70.62028,0.0888776272947258,0,0,0,0.128109361340918
"183",944,2010,41.727158,-70.483029,0.976839893174555,0,0,0,0
"184",1040,2010,41.681224,-70.142489,0,0,0,0,0
"185",1040,2010,41.681224,-70.142489,0,0,0,0,0
"186",236,2010,41.884256,-69.984335,NA,NA,NA,0,NA
"187",312,2010,41.660231,-69.967241,0,0,0,0,0
"188",1228,2010,45.13169,-71.05672,0,0,0,0,0
"189",1288,2010,45.1993,-71.01079,0,0,0,0,0
"190",1946,2010,44.95857,-71.00817,0,0,0,0,0
"191",1896,2010,45.10497,-70.99718,0,0,0,0,0
"192",1697,2010,44.50094,-70.98479,0,0,0,0,0
"193",1352,2010,44.27202,-70.98409,0,0,0,0,0
"194",1352,2010,44.27202,-70.98409,0,0,0,0,0
"195",1956,2010,44.08064,-70.96429,0.0501393545831388,0,0.121319836452895,0,0
"196",896,2010,45.26618,-70.95966,0,0,0,0,0
"197",366,2010,43.81046,-70.95045,0,0,0.219767143850914,0,0
"198",1088,2010,43.54356,-70.9434,0,0,0.0167545510613264,0,0
"199",1503,2010,45.03737,-70.94288,0,0,0,0,0
"200",88,2010,44.575,-70.93548,0,0,0,0,0
"201",1684,2010,44.80314,-70.92975,0,0,0,0,0
"202",1519,2010,43.83302,-70.91736,0,0,0.238744740875236,0,0
"203",1395,2010,44.32299,-70.91269,0,0,0,0,0
"204",15,2010,44.11266,-70.90496,0,0,0.342849067269644,0,0
"205",5302,2010,44.864634,-70.892107,0,0,0,0,0
"206",5302,2010,44.864634,-70.892107,0,0,0,0,0
"207",560,2010,43.64121,-70.89002,0.41443960605818,0,0.410516201750442,0,0
"208",1952,2010,43.39659,-70.8864,0,0,0,0,0
"209",849,2010,44.64416,-70.87964,0,0,0,0,0
"210",849,2010,44.64416,-70.87964,0,0,0,0,0
"211",1719,2010,44.45911,-70.87847,0,0,0,0,0
"212",660,2010,44.40032,-70.87026,0,0,0.109281916361562,0,0
"213",660,2010,44.40032,-70.87026,0,0,0.109281916361562,0,0
"214",895,2010,44.16925,-70.86683,0,0,0.0828928229325576,0,0
"215",1203,2010,45.18419,-70.84089,0,0,0,0,0
"216",127,2010,43.47718,-70.83618,0.0186322961267102,0,0.286328464662697,0,0
"217",1971,2010,44.4907,-70.83018,0,0,0.213147052580591,0,0
"218",1971,2010,44.4907,-70.83018,0,0,0.213147052580591,0,0
"219",354,2010,45.08464,-70.82722,0,0,0,0,0
"220",1386,2010,44.81973,-70.8222,0,0,0,0,0
"221",1600,2010,43.24452,-70.82171,0,0,0,0,0
"222",78,2010,44.25917,-70.8118,0,0,0.134736842105263,0,0
"223",1315,2010,44.70832,-70.80507,0,0,0.172308441300374,0,0
"224",1041,2010,43.95981,-70.7962,0,0,0,0,0
"225",1666,2010,44.00868,-70.79448,0,0,0.267637923116699,0,0
"226",1864,2010,45.0046,-70.7896,0,0,0,0,0
"227",612,2010,43.60084,-70.78157,0,0,0.00103781809124497,0,0
"228",720,2010,43.73432,-70.78043,0,0,0.0364661254982964,0,0
"229",1376,2010,44.78802,-70.76412,0,0,0,0,0
"230",25,2010,44.12603,-70.7623,0,0,0.17068459279864,0,0.140661755868061
"231",135,2010,45.26267,-70.76192,0,0,0,0,0
"232",1116,2010,44.83611,-70.7604,0,0,0,0,0
"233",784,2010,44.32569,-70.74654,0,0,0.0635274477394908,0,0
"234",1910,2010,44.55285,-70.72784,0,0,0,0,0
"235",589,2010,43.85854,-70.72608,0,0,0,0,0
"236",1907,2010,45.32053,-70.72414,0,0,0,0,0
"237",1360,2010,44.85473,-70.71088,0,0,0,0,0
"238",1336,2010,43.14884,-70.69929,0,0,0.0626277227084848,0,0
"239",1003,2010,43.92767,-70.69615,0,0,0.11235600883998,0,0
"240",1373,2010,44.38813,-70.69547,0,0,0.0389804849852743,0,0
"241",1174,2010,43.39737,-70.69134,0.0190545502663006,0,0,0,0.304872804260809
"242",1318,2010,44.60864,-70.68342,0,0,0,0,0
"243",1115,2010,43.4461,-70.67164,0.0335306394771957,0,0.682806993533377,0,0.0289116228145208
"244",828,2010,45.1581,-70.66548,0,0,0,0,0
"245",342,2010,43.87629,-70.66532,0.174060793431573,0,0.176881264016827,0,0
"246",1190,2010,43.69492,-70.66222,0.121238838323909,0,0,0,0.12089744184659
"247",642,2010,43.20581,-70.64771,0,0,0.152179624390554,0,0
"248",708,2010,43.63518,-70.64147,0,0,0.111268509479174,0,0
"249",1527,2010,44.65657,-70.63914,0,0,0,0,0
"250",1051,2010,44.99184,-70.61773,0,0,0,0,0
"251",1305,2010,45.24068,-70.61045,0,0,0,0,0
"252",532,2010,44.21009,-70.60946,0,0,0.4089108966509,0,0.00912548169286252
"253",1035,2010,43.40323,-70.60862,0,0,0,0,0
"254",460,2010,45.46179,-70.60826,0,0,0,0,0
"255",1354,2010,43.43512,-70.59906,0,0,0.969497484124717,0,0
"256",1354,2010,43.43512,-70.59906,0,0,0.969497484124717,0,0
"257",5231,2010,44.775436,-70.584064,0,0,0,0,0
"258",407,2010,44.06808,-70.57963,0,0,0.103611596027817,0,0
"259",819,2010,44.5356,-70.57272,0,0,0,0,0
"260",991,2010,43.60049,-70.55544,0,0,0,0,0
"261",661,2010,45.06557,-70.55538,0,0,0,0,0
"262",1642,2010,45.5371,-70.55496,0,0,0,0,0
"263",164,2010,45.30881,-70.53428,0,0,0,0,0
"264",715,2010,44.8424,-70.53065,0,0,0,0,0
"265",247,2010,44.34095,-70.52676,0,0,0.0232620064080738,0,0
"266",617,2010,43.36366,-70.52262,0,0,0.798766664586843,0,0
"267",921,2010,44.60746,-70.50866,0,0,0,0,0
"268",521,2010,45.48977,-70.50823,0,0,0,0,0
"269",843,2010,43.90288,-70.50806,0.0115120892890291,0,0.0126345832559866,0,0
"270",281,2010,44.35921,-70.50482,0,0,0,0,0
"271",503,2010,44.13265,-70.50243,0,0,0.363582533406144,0,0
"272",1153,2010,45.60325,-70.48582,0,0,0,0,0
"273",1343,2010,45.1418,-70.48494,0,0,0,0,0
"274",1343,2010,45.1418,-70.48494,0,0,0,0,0
"275",391,2010,44.22614,-70.47738,0,0,0.0561608734402852,0,0
"276",1587,2010,45.3619,-70.47551,0,0,0,0,0
"277",1582,2010,44.92279,-70.45558,0,0,0,0,0
"278",1904,2010,44.66386,-70.45436,0,0,0,0,0
"279",1904,2010,44.66386,-70.45436,0,0,0,0,0
"280",192,2010,44.43824,-70.44051,0,0,0.0551461029220584,0,0
"281",303,2010,44.72713,-70.43236,0,0,0,0,0
"282",1453,2010,44.95544,-70.43096,0,0,0,0,0
"283",800,2010,45.67786,-70.42815,0,0,0,0,0
"284",547,2010,45.44027,-70.42746,0,0,0,0,0
"285",1945,2010,45.20222,-70.42389,0,0,0,0,0
"286",51,2010,44.50959,-70.40632,0,0,0.00716950764503621,0,0
"287",723,2010,44.03487,-70.4058,0,0,0.22244726005451,0,0
"288",1006,2010,44.27208,-70.40336,0,0,0.326520120269828,0,0
"289",1680,2010,45.27443,-70.37922,0,0,0,0,0
"290",1562,2010,44.62555,-70.37295,0,0,0,0,0
"291",882,2010,43.81747,-70.37078,0,0,0.0703596525399291,0,0
"292",1374,2010,45.04224,-70.36553,0,0,0,0,0
"293",1670,2010,45.51217,-70.36464,0,0,0,0,0
"294",1398,2010,44.58817,-70.36367,0,0,0.230661545388035,0,0
"295",1038,2010,43.57482,-70.35642,0,0,0.615994096869405,0,0
"296",592,2010,44.81202,-70.35068,0,0,0,0,0
"297",1763,2010,44.10059,-70.34882,0,0,0,0,0
"298",1763,2010,44.10059,-70.34882,0,0,0,0,0
"299",443,2010,44.34508,-70.33731,0,0,0.128585443936695,0,0
"300",730,2010,45.80856,-70.3259,0,0,0,0,0
"301",1817,2010,45.63034,-70.32566,0,0,0,0,0
"302",152,2010,43.86411,-70.32554,0,0,0,0,0
"303",632,2010,45.58316,-70.31122,0,0,0,0,0
"304",1180,2010,44.69929,-70.30754,0,0,0,0,0
"305",107,2010,45.11335,-70.30611,0,0,0,0,0
"306",872,2010,45.33553,-70.2953,0,0,0,0,0
"307",872,2010,45.33553,-70.2953,0,0,0,0,0
"308",1015,2010,44.41783,-70.28763,0,0,0.0687606004873594,0,0
"309",519,2010,43.94869,-70.27517,0,0,0,0,0
"310",1235,2010,43.71407,-70.27282,0,0,0.521157129237523,0,0
"311",1356,2010,45.83799,-70.25938,0,0,0,0,0
"312",763,2010,45.42378,-70.25797,0,0,0,0,0
